Date : 2026-05-04 01:26:46
Directory : c:\mobile system manager
Total : 149 files,  23427 codes, -436 comments, 2227 blanks, all 25218 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\mobile system manager\textile-mobile\src\components\charts\TelemetryDashboard.tsx                            | TypeScript JSX |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\gis\PathFinderView.tsx                                   | TypeScript JSX |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\tier\DeviceCounterCard.tsx                               | TypeScript JSX |        110 |          0 |         12 |        122 |
| c:\mobile system manager\textile-mobile\src\components\tier\FeatureLock.tsx                                     | TypeScript JSX |         93 |          0 |         11 |        104 |
| c:\mobile system manager\textile-mobile\src\components\tier\TierBanner.tsx                                      | TypeScript JSX |        138 |          0 |         12 |        150 |
| c:\mobile system manager\textile-mobile\src\components\tier\UpgradeBottomSheet.tsx                              | TypeScript JSX |        275 |          4 |         24 |        303 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\CartesianChart.tsx                     | TypeScript JSX |         32 |        -26 |          1 |          7 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\XAxis.tsx                   | TypeScript JSX |         11 |        -11 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\components\YAxis.tsx                   | TypeScript JSX |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianChartContext.tsx     | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\contexts\CartesianTransformContext.tsx | TypeScript JSX |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBarWidth.ts                   | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useBuildChartAxis.ts             | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartPressState.ts            | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useChartTransformState.ts        | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedAreaPaths.ts           | TypeScript     |         13 |        -13 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\hooks\useStackedBarPaths.ts            | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\utils\curves.ts                        | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\cartesian\utils\transformInputData.ts            | TypeScript     |         28 |        -28 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\hooks\useAnimatedPath.ts                         | TypeScript     |         19 |        -13 |          2 |          8 |
